Title	Year	Duration	ISRC	Release	Release Date	Release Artist	UPC
Opus 1	2011	4:25	QMYYH1100001	Undecidable	2011-01-24	Kirk Rader	885767506688
Opus 2	2011	2:51	QMYYH1100002	Undecidable	2011-01-24	Kirk Rader	885767506688
Sample and Hold 2	2011	1:41	QMYYH1100003	Undecidable	2011-01-24	Kirk Rader	885767506688
Segnahc Cigam	2011	2:06	QMYYH1100004	Undecidable	2011-01-24	Kirk Rader	885767506688
Sample and Hold 1	2011	6:15	QMYYH1100005	Undecidable	2011-01-24	Kirk Rader	885767506688
Opus 6	2011	4:09	QMYYH1100006	Undecidable	2011-01-24	Kirk Rader	885767506688
2600 Redux	2023	5:57	QZXKT2300001	Dum Vivimus	2023-03-11	Kirk Rader	198015910503
Dum Vivimus	2023	5:10	QZXKT2300002	Dum Vivimus	2023-03-11	Kirk Rader	198015910503
Vivamus	2023	5:25	QZXKT2300003	Dum Vivimus	2023-03-11	Kirk Rader	198015910503
Sliders and Knobs	2023	5:03	QZXKT2300004	Dum Vivimus	2023-03-11	Kirk Rader	198015910503
And Cables	2023	2:29	QZXKT2300005	Dum Vivimus	2023-03-11	Kirk Rader	198015910503
One Modulator to Rule Them All	2023	4:04	QZXKT2300006	Dum Vivimus	2023-03-11	Kirk Rader	198015910503
Sonatina in No Particular Key, Pt. 1	2023	3:15	QZXKT2300007	Dum Vivimus	2023-03-11	Kirk Rader	198015910503
Noise to Signal	2023	10:45	QZXKT2300008	Dum Vivimus	2023-03-11	Kirk Rader	198015910503
Untitled	2023	3:03	QZXKT2300009	Untitled	2023-03-11	Kirk Rader	198015912095
Whoop Whoop	2023	3:22	QZXKT2300010	Untitled	2023-03-11	Kirk Rader	198015912095
Ring of Sines and a Square	2023	3:10	QZXKT2300011	Untitled	2023-03-11	Kirk Rader	198015912095
Sonatina in No Particular Key, Pt. 2	2023	6:00	QZXKT2300012	Songs Not Yet and No Longer Sung	2023-03-18	Kirk Rader	198015955498
Fire and Forget	2023	3:57	QZXKT2300013	Songs Not Yet and No Longer Sung	2023-03-18	Kirk Rader	198015955498
Divergence	2023	3:08	QZXKT2300014	Songs Not Yet and No Longer Sung	2023-03-18	Kirk Rader	198015955498
Douse and Remember	2023	7:17	QZXKT2300015	Songs Not Yet and No Longer Sung	2023-03-18	Kirk Rader	198015955498
Faerie	2023	2:41	QZXKT2300016	Songs Not Yet and No Longer Sung	2023-03-18	Kirk Rader	198015955498
Múspellsheimr	2023	2:04	QZXKT2300017	Songs Not Yet and No Longer Sung	2023-03-18	Kirk Rader	198015955498
Niflheimr	2023	3:15	QZXKT2300018	Songs Not Yet and No Longer Sung	2023-03-18	Kirk Rader	198015955498
Lament	2023	2:16	QZXKT2300019	Songs Not Yet and No Longer Sung	2023-03-18	Kirk Rader	198015955498
Ostinato	2023	2:07	QZXKT2300020	Songs Not Yet and No Longer Sung	2023-03-18	Kirk Rader	198015955498
March	2023	2:29	QZXKT2300021	March	2023-03-28	Kirk Rader	198025013270
Ludwig van Synthpop	2023	1:14	QZXKT2300022	March	2023-03-28	Kirk Rader	198025013270
E Minor Tune	2023	2:46	QZXKT2300023	March	2023-03-28	Kirk Rader	198025013270
Krell National Anthem	2023	3:18	QZXKT2300024	April	2023-04-08	Kirk Rader	198025078903
Sonatina in No Particular Key, Pt. 3	2023	5:14	QZXKT2300025	April	2023-04-08	Kirk Rader	198025078903
Triad	2023	1:45	QZXKT2300026	April	2023-04-08	Kirk Rader	198025078903
Iaulath Berúthiel	2023	2:09	QZXKT2300027	April	2023-04-08	Kirk Rader	198025078903
Fall, Rise	2023	2:14	QZXKT2300028	April	2023-04-08	Kirk Rader	198025078903
Sinusoidal Syncopation	2023	2:20	QZXKT2300029	April	2023-04-08	Kirk Rader	198025078903
P W M	2023	3:21	QZXKT2300030	April	2023-04-08	Kirk Rader	198025078903
π	2023	1:27	QZXKT2300031	No Chatbots Were Harmed in the Making of This Album	2023-05-07	Kirk Rader	198025252013
Regret	2023	2:04	QZXKT2300032	No Chatbots Were Harmed in the Making of This Album	2023-05-07	Kirk Rader	198025252013
Y N B B B	2023	2:03	QZXKT2300033	No Chatbots Were Harmed in the Making of This Album	2023-05-07	Kirk Rader	198025252013
Analogy in C Major	2023	2:31	QZXKT2300034	No Chatbots Were Harmed in the Making of This Album	2023-05-07	Kirk Rader	198025252013
Chicxulub	2023	3:10	QZXKT2300035	No Chatbots Were Harmed in the Making of This Album	2023-05-07	Kirk Rader	198025252013
Analogy in C Minor	2023	1:36	QZXKT2300036	No Chatbots Were Harmed in the Making of This Album	2023-05-07	Kirk Rader	198025252013
Rainy Day Fanfare	2023	2:41	QZXKT2300037	No Chatbots Were Harmed in the Making of This Album	2023-05-07	Kirk Rader	198025252013
At His Heels, Leashed in Like Hounds	2023	1:01	QZXKT2300038	No Chatbots Were Harmed in the Making of This Album	2023-05-07	Kirk Rader	198025252013
Crouched for Employment	2023	1:45	QZXKT2300039	No Chatbots Were Harmed in the Making of This Album	2023-05-07	Kirk Rader	198025252013
