album,upc,title,track,isrc
"Ambivalence",198025421488,"Effulgence",1,QZXKT2300045
"Ambivalence",198025421488,"Vigilance",2,QZXKT2300040
"Ambivalence",198025421488,"Perseverance",3,QZXKT2300041
"Ambivalence",198025421488,"Coherence",4,QZXKT2300042
"Ambivalence",198025421488,"Reluctance",5,QZXKT2300043
"Ambivalence",198025421488,"Ebullience",6,QZXKT2300044
"Ambivalence",198025421488,"Somnambulance",7,QZXKT2300046
"Ambivalence",198025421488,"Emergence",8,QZXKT2300047
"Ambivalence",198025421488,"Disturbance",9,QZXKT2300049
"Ambivalence",198025421488,"Transcendence",10,QZXKT2300048
