album,upc,title,track,isrc
"The Modern Temple of Amusement (Volume 2)",198025591679,"Repercussions 1",12,QZXKT2300061
"The Modern Temple of Amusement (Volume 2)",198025591679,"Repercussions 2",13,QZXKT2300062
"The Modern Temple of Amusement (Volume 2)",198025591679,"Repercussions 3",14,QZXKT2300063
"The Modern Temple of Amusement (Volume 2)",198025591679,"Repercussions 4",15,QZXKT2300064
"The Modern Temple of Amusement (Volume 2)",198025591679,"Repercussions 5",16,QZXKT2300065
"The Modern Temple of Amusement (Volume 2)",198025591679,"Repercussions 6",17,QZXKT2300066
"The Modern Temple of Amusement (Volume 2)",198025591679,"Repercussions 7",18,QZXKT2300067
"The Modern Temple of Amusement (Volume 2)",198025591679,"Repercussions 8",19,QZXKT2300068
"The Modern Temple of Amusement (Volume 2)",198025591679,"Repercussions 9",20,QZXKT2300069
"The Modern Temple of Amusement (Volume 2)",198025591679,"Repercussions 10",21,QZXKT2300070
