album,upc,title,track,isrc
"Album 10",198025739965,"Incipio ex regulum",1,QZ-XKT-23-00071
"Album 10",198025739965,"Introduction",2,QZXKT2300072
"Album 10",198025739965,"Variation 1",3,QZXKT2300073
"Album 10",198025739965,"Interlude 1",4,QZXKT2300074
"Album 10",198025739965,"Variation 2",5,QZXKT2300075
"Album 10",198025739965,"Interlude 2",6,QZXKT2300076
"Album 10",198025739965,"Variation 3",7,QZXKT2300077
"Album 10",198025739965,"Interlude 3",8,QZXKT2300078
"Album 10",198025739965,"Recapitulation",9,QZXKT2300079
"Album 10",198025739965,"Reductio ad absurdum",10,QZXKT2300080
"Album 10",198025739965,"Epilogue",11,QZXKT2300081
