album,upc,title,track,isrc
"Rhythms",198025759802,"Rhythm 1",1,QZXKT2300082
"Rhythms",198025759802,"Rhythm 2",2,QZXKT2300083
"Rhythms",198025759802,"Rhythm 3",3,QZXKT2300084
"Rhythms",198025759802,"Rhythm 4",4,QZXKT2300085
"Rhythms",198025759802,"Rhythm 5",5,QZXKT2300086
"Rhythms",198025759802,"Rhythm 6",6,QZXKT2300087
"Rhythms",198025759802,"Euclidean Tablas and Random Drones",7,QZXKT2300088
"Rhythms",198025759802,"Sinfonietta for Cowbell Orchestra",8,QZXKT2300089
"Rhythms",198025759802,"Concerto for Cowbell, Low Percussion and Manic Choir",9,QZXKT2300090
"Rhythms",198025759802,"Farandole in Tempore Belli",10,QZXKT2300091
