album,upc,title,track,isrc
"Empyrean",198027297876,1,"Whom the Gods Destroy",QZXKT2300114
"Empyrean",198027297876,2,"They First Make Mad",QZXKT2300115
"Empyrean",198027297876,3,"Steady State",QZXKT2300116
"Empyrean",198027297876,4,"Traces Through the Cloud Chamber",QZXKT2300117
"Empyrean",198027297876,5,"Unsteady State (Steady State Redux)",QZXKT2300118
"Empyrean",198027297876,6,"Noisy Melody",QZXKT2300119
"Empyrean",198027297876,7,"Ready, Steady",QZXKT2300120
"Empyrean",198027297876,8,"Airy Fairy",QZXKT2300121
"Empyrean",198027297876,9,"March of the Airy Fairies",QZXKT2300122
"Empyrean",198027297876,10,"Migration",QZXKT2300123
