album,upc,title,track,isrc
"The Doctrine of Shareholder Value",198090343913,1,"The Maundering Orator",QZXKT2300147
"The Doctrine of Shareholder Value",198090343913,2,"The Marketplace of 'Ideas'",QZXKT2300148
"The Doctrine of Shareholder Value",198090343913,3,"A Conclave of Populist Fantasists",QZXKT2300149
"The Doctrine of Shareholder Value",198090343913,4,"Antisocial Media",QZXKT2300150
"The Doctrine of Shareholder Value",198090343913,5,"Narcissus",QZXKT2300151
"The Doctrine of Shareholder Value",198090343913,6,"Sycophants",QZXKT2300152
"The Doctrine of Shareholder Value",198090343913,7,"Intended Consequences",QZXKT2300153
"The Doctrine of Shareholder Value",198090343913,8,"The Three Branches",QZXKT2300154
"The Doctrine of Shareholder Value",198090343913,9,"One Master",QZXKT2300155
"The Doctrine of Shareholder Value",198090343913,10,"Consensual Reality",QZXKT2300156
