album,upc,title,track,isrc
"Duodecatonic",198093234317,1,"Duodecatonic",QZXKT2300157
"Duodecatonic",198093234317,2,"Randomly Rubato Wandering Chromatics",QZXKT2300158
"Duodecatonic",198093234317,3,"Cognitive Dissonance",QZXKT2300159
"Duodecatonic",198093234317,4,"Duodecahexate",QZXKT2300160
"Duodecatonic",198093234317,5,"Surjection",QZXKT2300161
"Duodecatonic",198093234317,6,"Continuum Hypothesis, Pt. 1",QZXKT2300162
"Duodecatonic",198093234317,7,"Continuum Hypothesis, Pt. 2",QZXKT2300163
"Duodecatonic",198093234317,8,"Continuum Hypothesis, Pt. 3",QZXKT2300164
"Duodecatonic",198093234317,9,"Continuum Hypothesis, Pt. 4",QZXKT2300165
"Duodecatonic",198093234317,10,"Continuum Hypothesis, Pt. 5",QZXKT2300166
"Duodecatonic",198093234317,11,"Continuum Hypothesis, Pt. 6",QZXKT2300167
"Duodecatonic",198093234317,12,"Unodecatonic",QZXKT2300168
