album,upc,title,track,isrc
"Ringing the Changes",019798688864,1,"Aleph Null",QZXKT2300177
"Ringing the Changes",019798688864,2,"Yuletide",QZXKT2300178
"Ringing the Changes",019798688864,3,"Solstice",QZXKT2300179
"Ringing the Changes",019798688864,4,"Mixolydian Harmonies",QZXKT2300180
"Ringing the Changes",019798688864,5,"Aeolian Counterpoint",QZXKT2300181
"Ringing the Changes",019798688864,6,"Dorian Light Pink",QZXKT2300182
"Ringing the Changes",019798688864,7,"Mixed Hesitant Tempos",QZXKT2300183
"Ringing the Changes",019798688864,8,"Krampuslauf 1",QZXKT2300184
"Ringing the Changes",019798688864,9,"Krampuslauf 2",QZXKT2300185
"Ringing the Changes",019798688864,10,"Niklaus",QZXKT2300186
