album,upc,title,track,isrc
"Ante Annus Novus",198078467266,1,"13 Times 5",QZXKT2300187
"Ante Annus Novus",198078467266,2,"Reversal",QZXKT2300188
"Ante Annus Novus",198078467266,3,"Ozymandias",QZXKT2300189
"Ante Annus Novus",198078467266,4,"Postquam Prior Annus",QZXKT2400001
"Ante Annus Novus",198078467266,5,"McFarland Souvenir (for Sean and Mary)",QZXKT2400002
"Ante Annus Novus",198078467266,6,"Resonant Filter Sweep",QZXKT2400003
"Ante Annus Novus",198078467266,7,"Inverted Rings",QZXKT2400004
"Ante Annus Novus",198078467266,8,"Surging Counterpoint",QZXKT2400005
"Ante Annus Novus",198078467266,9,"Rippling Counterpoint",QZXKT2400006
"Ante Annus Novus",198078467266,10,"Panopticon",QZXKT2400007
"Ante Annus Novus",198078467266,11,"Prime",QZXKT2400008
"Ante Annus Novus",198078467266,12,"Lares Compitales",QZXKT2400009
"Ante Annus Novus",198078467266,13,"l'Enfant Terrible",QZXKT2400010
"Ante Annus Novus",198078467266,14,"Running Out the Clock",QZXKT2400011
