release,year,album,upc,title,track,isrc
,2023,Tone in C Major,,Tone in C Major,1,QZXKT2300101
,2024,Requirements Gathering in N-Dimensional Space,,Requirements Gathering in N-Dimensional Space,1,QZXKT2400037
1,2011,Undecidable,885767506688,Opus 1,1,QMYYH1100001
1,2011,Undecidable,885767506688,Opus 2,2,QMYYH1100002
1,2011,Undecidable,885767506688,Sample and Hold 2,3,QMYYH1100003
1,2011,Undecidable,885767506688,Segnahc Cigam,4,QMYYH1100004
1,2011,Undecidable,885767506688,Sample and Hold 1,5,QMYYH1100005
1,2011,Undecidable,885767506688,Opus 6,6,QMYYH1100006
2,2023,Dum Vivimus,198015910503,2600 Redux,1,QZXKT2300001
2,2023,Dum Vivimus,198015910503,Dum Vivimus,2,QZXKT2300002
2,2023,Dum Vivimus,198015910503,Vivamus,3,QZXKT2300003
2,2023,Dum Vivimus,198015910503,Sliders and Knobs,4,QZXKT2300004
2,2023,Dum Vivimus,198015910503,and Cables,5,QZXKT2300005
2,2023,Dum Vivimus,198015910503,One Modulator to Rule Them All,6,QZXKT2300006
2,2023,Dum Vivimus,198015910503,Sonatina in No Particular Key Part 1,7,QZXKT2300007
2,2023,Dum Vivimus,198015910503,Noise to Signal,8,QZXKT2300008
3,2023,Untitled,198015912095,Untitled,1,QZXKT2300009
3,2023,Untitled,198015912095,Whoop Whoop,2,QZXKT2300010
3,2023,Untitled,198015912095,Ring of Sines and a Square,3,QZXKT2300011
4,2023,Songs Not Yet and No Longer Sung,198015955498,Sonatina in No Particular Key Pt. 2,1,QZXKT2300012
4,2023,Songs Not Yet and No Longer Sung,198015955498,Fire and Forget,2,QZXKT2300013
4,2023,Songs Not Yet and No Longer Sung,198015955498,Divergence,3,QZXKT2300014
4,2023,Songs Not Yet and No Longer Sung,198015955498,Douse and Remember,4,QZXKT2300015
4,2023,Songs Not Yet and No Longer Sung,198015955498,Faerie,5,QZXKT2300016
4,2023,Songs Not Yet and No Longer Sung,198015955498,Múspellsheimr,6,QZXKT2300017
4,2023,Songs Not Yet and No Longer Sung,198015955498,Niflheimr,7,QZXKT2300018
4,2023,Songs Not Yet and No Longer Sung,198015955498,Lament,8,QZXKT2300019
4,2023,Songs Not Yet and No Longer Sung,198015955498,Ostinato,9,QZXKT2300020
5,2023,March,198025013270,March,1,QZXKT2300021
5,2023,March,198025013270,Ludwig van Synthpop,2,QZXKT2300022
5,2023,March,198025013270,E Minor Tune,3,QZXKT2300023
6,2023,April,198025078903,Sonatina in No Particular Key Part 3,1,QZXKT2300025
6,2023,April,198025078903,Krell National Anthem,2,QZXKT2300024
6,2023,April,198025078903,Triad,3,QZXKT2300026
6,2023,April,198025078903,Iaulath Berúthiel,4,QZXKT2300027
6,2023,April,198025078903,Sinusoidal Syncopation,5,QZXKT2300029
6,2023,April,198025078903,PWM,6,QZXKT2300030
6,2023,April,198025078903,"Fall, Rise",7,QZXKT2300028
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,Analogy in C Minor,1,QZXKT2300036
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,Regret,2,QZXKT2300032
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,π,3,QZXKT2300031
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,YNBBB,4,QZXKT2300033
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,Chicxulub,5,QZXKT2300035
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,Rainy Day Fanfare,6,QZXKT2300037
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,"At His Heels, Leashed In Like Hounds",7,QZXKT2300038
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,Crouched for Employment,8,QZXKT2300039
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,Analogy in C Major,9,QZXKT2300034
8,2023,Ambivalence,198025421488,Effulgence,1,QZXKT2300045
8,2023,Ambivalence,198025421488,Vigilance,2,QZXKT2300040
8,2023,Ambivalence,198025421488,Perseverance,3,QZXKT2300041
8,2023,Ambivalence,198025421488,Coherence,4,QZXKT2300042
8,2023,Ambivalence,198025421488,Reluctance,5,QZXKT2300043
8,2023,Ambivalence,198025421488,Ebullience,6,QZXKT2300044
8,2023,Ambivalence,198025421488,Somnambulance,7,QZXKT2300046
8,2023,Ambivalence,198025421488,Emergence,8,QZXKT2300047
8,2023,Ambivalence,198025421488,Disturbance,9,QZXKT2300049
8,2023,Ambivalence,198025421488,Transcendence,10,QZXKT2300048
9,2023,The Modern Temple of Amusement (Volume 1),198025591679,Floating Theater,1,QZXKT2300050
9,2023,The Modern Temple of Amusement (Volume 1),198025591679,Mount Vesuvius,2,QZXKT2300051
